Container_ID,Shipment_ID,Container_Type,Container_Number,Free_Days,Port_Dwell_Days,DD_Days,DD_Rate_Per_Day_USD,DD_Charge_USD,DD_Status,Picked_Up,Carrier,POD
CONT0000001,SHP000001,20RF,MSCU1375532,10,5,0,0,0,No Charge,Yes,Evergreen,Vancouver
CONT0000002,SHP000001,20RF,MSCU2953294,7,5,0,0,0,No Charge,Yes,Evergreen,Vancouver
CONT0000003,SHP000001,40HC,MSCU9624152,7,10,3,150,450,Charged,Yes,Evergreen,Vancouver
CONT0000004,SHP000002,40RF,MSCU8934254,7,14,7,150,1050,Charged,Yes,COSCO,New York
CONT0000005,SHP000002,40GP,MSCU5644836,7,20,13,150,1950,Charged,Yes,COSCO,New York
CONT0000006,SHP000002,40GP,MSCU5780038,5,23,18,200,3600,Charged,Yes,COSCO,New York
CONT0000007,SHP000002,40GP,MSCU1314051,10,14,4,200,800,Charged,Yes,COSCO,New York
CONT0000008,SHP000002,40HC,MSCU8758476,14,16,2,150,300,Charged,Yes,COSCO,New York
CONT0000009,SHP000002,40GP,MSCU1303213,10,15,5,100,500,Charged,Yes,COSCO,New York
CONT0000010,SHP000002,40RF,MSCU5829008,10,17,7,75,525,Charged,Yes,COSCO,New York
CONT0000011,SHP000002,40RF,MSCU6515543,14,23,9,200,1800,Charged,Yes,COSCO,New York
CONT0000012,SHP000003,20GP,MSCU6753758,14,8,0,0,0,No Charge,Yes,MSC,Toronto
CONT0000013,SHP000004,20RF,MSCU3546422,10,6,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000014,SHP000004,40RF,MSCU3852351,14,8,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000015,SHP000004,20GP,MSCU2318832,14,5,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000016,SHP000004,20GP,MSCU4482131,14,9,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000017,SHP000004,40HC,MSCU8574899,10,5,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000018,SHP000004,40RF,MSCU3797337,14,1,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000019,SHP000004,20RF,MSCU1392726,10,10,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000020,SHP000004,40GP,MSCU7296226,10,9,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000021,SHP000004,20GP,MSCU2627051,7,7,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000022,SHP000004,20GP,MSCU5854470,14,4,0,0,0,No Charge,Yes,COSCO,Chicago
CONT0000023,SHP000005,40RF,MSCU7853764,7,3,0,0,0,No Charge,Yes,Evergreen,Vancouver
CONT0000024,SHP000006,40RF,MSCU5678825,10,4,0,0,0,No Charge,Yes,Yang Ming,Vancouver
CONT0000025,SHP000006,40HC,MSCU9427273,10,6,0,0,0,No Charge,Yes,Yang Ming,Vancouver
CONT0000026,SHP000006,20RF,MSCU8783184,14,4,0,0,0,No Charge,Yes,Yang Ming,Vancouver
CONT0000027,SHP000007,40GP,MSCU7711798,10,8,0,0,0,No Charge,Yes,ZIM,Toronto
CONT0000028,SHP000007,40HC,MSCU8784988,10,1,0,0,0,No Charge,Yes,ZIM,Toronto
CONT0000029,SHP000007,40RF,MSCU8014552,7,2,0,0,0,No Charge,Yes,ZIM,Toronto
CONT0000030,SHP000007,20GP,MSCU4761327,14,7,0,0,0,No Charge,Yes,ZIM,Toronto
CONT0000031,SHP000007,40RF,MSCU2350663,7,10,3,250,750,Charged,Yes,ZIM,Toronto
CONT0000032,SHP000007,40RF,MSCU5193310,14,1,0,0,0,No Charge,Yes,ZIM,Toronto
CONT0000033,SHP000007,20GP,MSCU7212534,7,10,3,200,600,Charged,Yes,ZIM,Toronto
CONT0000034,SHP000007,40RF,MSCU9578785,5,10,5,200,1000,Charged,Yes,ZIM,Toronto
CONT0000035,SHP000008,40HC,MSCU5015044,7,3,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000036,SHP000008,40HC,MSCU3225498,7,8,1,100,100,Charged,Yes,Yang Ming,Miami
CONT0000037,SHP000008,40GP,MSCU8737309,10,2,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000038,SHP000008,20RF,MSCU5058134,14,4,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000039,SHP000008,20GP,MSCU6557607,7,8,1,250,250,Charged,Yes,Yang Ming,Miami
CONT0000040,SHP000008,20GP,MSCU1115482,7,4,0,0,0,No Charge,Yes,Yang Ming,Miami
CONT0000041,SHP000008,20RF,MSCU7464522,5,7,2,250,500,Charged,Yes,Yang Ming,Miami
CONT0000042,SHP000008,40RF,MSCU3029740,5,7,2,150,300,Charged,Yes,Yang Ming,Miami
CONT0000043,SHP000008,20GP,MSCU5915104,5,8,3,200,600,Charged,Yes,Yang Ming,Miami
