Shipment_ID,Supplier_ID,Carrier,POL,POD,ETD,ETA,Actual_Arrival,Transit_Days,Delay_Days,Delay_Reason,On_Time,Num_Containers,Freight_Rate_USD,Total_Freight_USD,Cargo_Value_USD,Incoterms,Shipment_Status
SHP000001,SUP0002,Evergreen,Shenzhen,Vancouver,2024-09-22,2024-10-10,2024-10-10,18,0,None,Yes,3,3241.08,9723.24,949506.25,CIF,Delivered
SHP000002,SUP0009,COSCO,Rotterdam,New York,2023-02-16,2023-03-21,2023-04-03,33,13,Bad Weather,No,8,4128.57,33028.56,478911.83,CIF,Delivered
SHP000003,SUP0008,MSC,Hong Kong,Toronto,2023-04-17,2023-05-15,2023-05-15,28,0,None,Yes,1,1647.08,1647.08,910149.01,EXW,Delivered
SHP000004,SUP0003,COSCO,Busan,Chicago,2024-09-21,2024-10-18,2024-10-18,27,0,None,Yes,10,2931.98,29319.8,280847.38,DAP,Delivered
SHP000005,SUP0014,Evergreen,Shenzhen,Vancouver,2024-06-01,2024-07-07,2024-07-07,36,0,None,Yes,1,3291.45,3291.45,984956.95,FOB,Delivered
SHP000006,SUP0002,Yang Ming,Hong Kong,Vancouver,2023-05-25,2023-06-20,2023-06-20,26,0,None,Yes,3,2360.96,7082.88,314617.89,CIF,Delivered
SHP000007,SUP0003,ZIM,Shenzhen,Toronto,2022-01-31,2022-02-19,2022-02-19,19,0,None,Yes,8,2581.03,20648.24,871417.87,FOB,Delivered
SHP000008,SUP0006,Yang Ming,Shanghai,Miami,2023-06-28,2023-08-10,2023-08-10,43,0,None,Yes,9,3248.92,29240.28,512337.84,CIF,Delivered
SHP000009,SUP0010,Evergreen,Shanghai,Toronto,2023-10-05,2023-10-22,2023-10-22,17,0,None,Yes,9,4201.73,37815.57,554569.83,FOB,Delivered
SHP000010,SUP0017,MSC,Ningbo,Vancouver,2022-05-20,2022-06-18,2022-06-18,29,0,None,Yes,10,1711.0,17110.0,614793.2,CFR,Delivered
